Program,Year,Period,Geo Level,State,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Value,CV (%)
SURVEY,2019,YEAR,COUNTY,INDIANA,SOUTH CENTRAL,80,MONROE,105,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",134,
SURVEY,2019,YEAR,COUNTY,INDIANA,SOUTH CENTRAL,80,ORANGE,117,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",152.6,
SURVEY,2019,YEAR,COUNTY,INDIANA,SOUTH CENTRAL,80,OTHER (COMBINED) COUNTIES,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",131.6,
SURVEY,2019,YEAR,COUNTY,INDIANA,SOUTH CENTRAL,80,WASHINGTON,175,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",134.3,
SURVEY,2019,YEAR,COUNTY,INDIANA,SOUTHEAST,90,CLARK,19,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",132.5,
SURVEY,2019,YEAR,COUNTY,INDIANA,SOUTHEAST,90,DEARBORN,29,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",129.4,
SURVEY,2019,YEAR,COUNTY,INDIANA,SOUTHEAST,90,FRANKLIN,47,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",152.4,
SURVEY,2019,YEAR,COUNTY,INDIANA,SOUTHEAST,90,JEFFERSON,77,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",123.6,
SURVEY,2019,YEAR,COUNTY,INDIANA,SOUTHEAST,90,JENNINGS,79,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",135.4,
SURVEY,2019,YEAR,COUNTY,INDIANA,SOUTHEAST,90,OHIO,115,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",136.2,
